Question,Choices,Answer
"A female in her third trimester of pregnancy became ill with fever, chills, headache, muscle soreness, nausea, vomiting and diarrhea. A blood sample was culture-positive. The gram stain reaction and broth culture in semisolid agar are demonstrated in the images provided. Which of the following is the most likely agent causing this patients symptoms?","Bacillus cereus, Campylobacter jejuni, E. coli (EHEC), Listeria monocytogenes, Yersinia enterocolitica",Listeria monocytogenes
"A worker received a shoulder wound that became more painful and swollen throughout the day; the following morning the man noticed a deep redness over the wound which was covered by a large fluid-filled blister (bulla). The pain increased in intensity and spread beyond the area of the lesion, and because of the pain, his wife took him to the emergency room.¬† The results of the gram stain and growth on blood agar are shown in the images provided. The organism was unable to grow on blood agar in the presence of bacitracin. Which of the following is the most likely agent associated with this case?","Clostridium perfringens, Bacillus anthracis, Staphylococcus epidermidis, Pseudomonas aeruginosa, Streptococcus pyogenes",Streptococcus pyogenes
"A 68-year-old man under treatment for cancer became febrile; he had a percutaneous central venous catheter for his routine cancer treatment.† Blood cultures were positive for the organism shown in the gram stain image provided. Microscopic morphology on cornmeal agar, as demonstrated in the image provided, showed large chlamydospores (black arrow), blastoconidia (red arrow), hyphae and pseudohyphae. †The growth of the organism on blood agar demonstrated white colonies with no hemolysis as shown in the image provided. The catheter was removed, and he was treated with fluconazole and blood cultures became negative. Which of the following is the most likely agent causing this patients condition?","Actinomyces israelii, Aspergillus fumigatus, Candida albicans, Cryptococcus neoformans, Mucor spp.",Candida albicans
"A 3-year-old girl with an upset stomach and diarrhea for two days was taken to the pediatrician.† Stools were found to be watery, foul smelling and without blood. †Culture for bacterial intestinal pathogens was negative. An antigen-detection assay of the stool specimen was positive for the suspected pathogen; and microscopic examination of the stool revealed the agent shown in the image provided. Two other children from her day-care center had similar infections. She was treated successfully with metronidazole. Which of the following agents is most likely responsible for this patients condition?","Cryptosporidium, Cyclospora, Entamoeba histolytica, Giardia lamblia, Isospora",Giardia lamblia
"A 63-year-old man received a renal transplant and was on standard immunosuppressive therapy. Two weeks post-transplant he developed hepatic problems which were corrected by a change in treatment. Two weeks later, he experienced a cytomegalovirus infection that was treated successfully.† One week later the patient developed a dry cough and had difficulty breathing; sputum cultures were negative; his condition deteriorated, and he died within two days. A transbronchial lung biopsy shown in the image provided shows the agent causing his death (top panel). A lactophenol cotton blue preparation of the isolated organism shows conidial heads (bottom panel). Which of the following agents is the most likely cause of this patients death?","aspergillosis, candidiasis, cryptococcosis, dermatophytoses, mucormycosis",aspergillosis
"This pathogen caused life-threatening pneumonia in a young woman who had recently recovered from an influenza infection. The results of the gram stain are shown in the image on top, and the growth on blood agar demonstrated the gold colored colonies with beta hemolysis as shown in the image on the bottom. The organism was found to possess catalase and coagulase. Which of the following is the most likely pathogen causing this patients pneumonia?","Candida albicans, Enterococcus, Staphylococcus aureus, Staphylococcus epidermidis, Streptococcus pneumoniae",Staphylococcus aureus
"Identify this agent encountered in community- and hospital-acquired infections including urinary tract infections (especially individuals with an indwelling urinary catheter), wound infections, and bloodstream infections. [See microscope (left), plate cultures (right), and urease test (bottom)demonstrations].","Bacillus cereus, E. coli, Klebsiella pneumoniae, Proteus mirabilis, Pseudomonas aeruginosa",Proteus mirabilis
"A 22-year-old female, originally from Mexico, was admitted to the Metro Hospital with seizures. This patient had a history of several convulsions in her teenage years but remained asymptomatic until about six months prior to admission. At that time, she began to have seizures about once a month. She was unable to speak and went into an unconscious state for several minutes during these episodes. The image provided demonstrates what she had ingested years earlier that was the initial cause of her current problem. Which of the following is the most likely agent causing this patients current condition?","Ascaris lumbricoides, Echinococcus, Taenia solium, Taenia saginata, Trichinella spiralis",Taenia solium
This pathogen was isolated from fluid removed from a 20-year-old mans swollen elbow which was notably red and was warm and painful to the touch; the organism isolated is:,"Haemophilus influenzae, Neisseria gonorrhoeae, Proteus vulgaris, Staphylococcus aureus, Streptococcus pneumoniae",Neisseria gonorrhoeae
Acute and convalescent sera from a patient with interstitial pneumonitis were tested against a panel of antigens using the complement-fixation test. Results shown on demonstration indicate a recent infection with:,"Chlamydia psittaci, influenza virus A, influenza virus B, Mycoplasma pneumoniae",Chlamydia psittaci
