Key,Definition,NameList,ClassList,PropList,Picture
skin,the thin layer of tissue forming the natural outer covering of the body of a person or animal.,"[""Skin""]","[""Organ"", ""Skin""]","[""Dryness"", ""low pH (~ 5.5 due to acidic lipids)"", ""low temperature"", ""high oxygen"", ""high salt (evaporated sweat)"", ""resident/transient bacteria (compete for nutrients and space)"", ""Defends through epidermal layer, exfoliation, and sweat glands""]",skin.jpg
gut,The oral-gut axis is a complex network that describes the communication between the mouth and the intestines.,"[""Gut""]","[""Organ"", ""Gut""]","[""Salivary flow"", ""Intact mucosa and mucous flow"", ""Peristalsis"", ""Low pH"", ""Antibacterial saliva and mucous"", ""Proteolytic/glycolytic/lipolytic enzymes"", ""Resident/transient bacteria (compete for nutrients and space)"", ""Bile""]",oral_gut.png
respiratory,"the passage formed by the mouth, nose, throat, and lungs, through which air passes during breathing.","[""Respiratory""]","[""Organ"", ""Respiratory""]","[""Vibrissae in nasal passage"", ""Intact mucosa and mucous flow"", ""Abrupt directional changes"", ""Cough reflex"", ""Cilia"", ""Temperature gradient (increasing from upper to lower airways)"", ""High oxygen"", ""Antibacterial mucous""]",respiratory.jpg
genitourinary,relating to the genital and urinary organs.,"[""Genitourinary""]","[""Organ"", ""Genitourinary""]","[""Urine flow"", ""Sloughing epithelium"", ""Intact mucosa and mucous flow"", ""Low pH"", ""Antibacterial mucous""]",genitourinary.png
host,"An organism that harbors another organism such as bacteria, parasites, or viruses in a symbiotic relationship.","[""Host""]","[""Generic""]","[""Host Defenses"", ""Points of Entry of Pathogen""]",
pathogen,"a bacterium, virus, or other microorganism that can cause disease.","[""Pathogen""]","[""Disease"", ""Pathogen""]","[""Different types"", ""Different ways to infect the host""]",
physical_barrier, immediate physical barriers that may prevent the entrance of potential microbial pathogens.,"[""Physical Barrier""]","[""Generic""]","[""Skin"", ""Mucosa"", ""Membranes""]",
physiological_barrier,"Particular microorganisms often thrive only when their environment demonstrates particular conditions with regard to temperature, pH, oxygen, nutrients, etc. The host presents a variety of physiological strategies to de-optimize growth conditions and therefore prevent the further growth and expansion of potential microbial pathogens.","[""Physiological Barrier""]","[""Generic""]","[""Inorganic barriers(pH, temperature, nutrients, etc.)"", ""Organic barriers(competition and other micro-organisms)""]",
innate_immunity,the first response of the body's immune system to a harmful foreign substance.,"[""Innate Immunity""]","[""Generic""]","[""Mucous Membranes"", ""Inflammatory Molecules"", ""Some immune cells"", ""Serum proteins"", ""Responsible for acute response""]",
adaptive_immunity,"A type of immunity that develops when a persons immune system responds to a foreign substance or microorganism, such as after an infection or vaccination. Adaptive immunity involves specialized immune cells and antibodies that attack and destroy foreign invaders and are able to prevent disease in the future by remembering what those substances look like and mounting a new immune response. Adaptive immunity may last for a few weeks or months or for a long time, sometimes for a persons entire life.","[""Adaptive Immunity""]","[""Generic""]","[""Late Onset (takes days to weeks)"", ""Highly specific"", ""Associated with B and T cells""]",
