From,To,Label,Desc
host,pathogen,infection,"host is infected by a pathogen (viruses, bacteria, fungi, or parasites can all serve as pathogens)"
pathogen,bacteria_domain,example,one example of a pathogen is bacteria
pathogen,eukarya_domain,example,members of the eukaryotic domain can be pathogens
pathogen,virus_generic,example,"viruses are common pathogens but are considered non-living, and lack most components present in eukaryotic and even prokaryotic cells. "
eukarya_domain,fungi_generic,kingdom,most fungi that can cause disease are eukaryotic
eukarya_domain,parasite_generic,subset,most parasites are eukaryotic
eukarya_domain,nuclear_membrane,contains,eukaryotes contain a membrane bound nucleus
bacteria_domain,peptidoglycan,contains,"a key structure in bacteria is their peptidoglycan cell wall, although there are a few exceptions. Gram postivie organisms have thicker peptidoglycan than gram negatives"
bacteria_domain,ribosome,contains,ribosomes are largely conserved within domains. Bacteria have 30s + 50s subunits which combine to make the 70s ribosome
eukarya_domain,cell_membrane_sterols,contains,most eukaryotic cells contain membrane sterols like cholesterol. Bacteria mostly do not with the exception of mycoplasma
eukarya_domain,ribosome,contains,"ribosomes are largely conserved within domains. Bacteria have 40s + 60s subunits which combine to make the 80s ribosome. However, mitochondria in eukaryotes have the same ribosome subunits as bacteria"
eukarya_domain,organelles,contains,eukaryotes contain membrane bound organelles
archaea_domain,atp,uses,used as mediator for energy transfer
eukarya_domain,atp,uses,used as mediator for energy transfer
bacteria_domain,atp,uses,used as mediator for energy transfer
archaea_domain,cell_membrane,encased,enclosed by a lipoprotein membrane
eukarya_domain,cell_membrane,encased,enclosed by a lipoprotein membrane. Polyunsaturated fatty acids
bacteria_domain,cell_membrane,encased,enclosed by a lipoprotein membrane. Monounsaturated fatty acids. Phosphatidyl ethanolamine
virus_generic,size,small,<0.2 microns
eukarya_domain,size,large,around 1mm
bacteria_domain,size,medium,around 1 - 20 microns
bacteria_domain,gram_stain,testing,"can determine what type of bacteria through appearance after staining (purple -> gram-positive, pink -> gram negative, etc.)"
gram_stain,acid_fast,type,"Initial carbol fuchsin stain (red) retained after acid-alcohol treatment masking methylene blue counter-stain. Stain retention due to a wax-like nearly impermeable cell wall containing mycolic acid and large amounts of fatty acids, waxes, and complex lipids"
gram_stain,gram_positive_cell_wall,appears,crystal violet-iodine complex is resistant to acetone/alcohol wash due to a thick peptidoglycan wall. Cells retain violet color.
gram_stain,gram_negative_cell_wall,appears,crystal violet-iodine complex washed out by acetone/alcohol due to a thin peptidoglycan layer. Cells show the pink safranin counterstain
gram_positive_cell_wall,teichoic_acid,contains,"techoic acids are a common feature of the gram positive cell wall, some are peripheral and others are integral"
gram_negative_cell_wall,lipopolysaccharide,contains,lipopolysaccharides are expressed on the surface of the outer membrane
gram_positive_cell_wall,peptidoglycan,contains,primary structure outside of membrane
gram_negative_cell_wall,peptidoglycan,contains,very thin between the 2 membranes
gram_negative_cell_wall,periplasmic_space,contains,"region between 2 membranes, contains enzymes, peptidoglycan, carriers, and controls access to the cell"
bacteria_domain,capsule,encased,some bacteria are enclosed by a capsule made of mostly polysaccharide (or protein in some cases)
bacteria_domain,chromosome,possesses,"bacteria possess circular chromosomes and DNA, and they also contain short circular DNA loops called plasmids"
bacteria_domain,granular_inclusion,contains,"storage molecules, not membrane enclosed. 1. Volutin: polyphosphate “metachromatic granules” – Corynebacterium. 2. Lipid: poly-beta-hydroxybutyrate-Pseudomonas 3. Carbohydrate: glycogen - oral Streptococci"
bacteria_domain,pili,possesses,some bacteria possess pili/fimbriae for adherence and conjugation
bacteria_domain,flagellum,possesses,some bacteria possess motile flagella that assist movement and chemotaxis
sanitization,cleaning,similar,cleaning refers to inorganic material and organic while sanitization is more organic
sterilization,physical,method,physical methods such as heat through autoclave can result in sterilization
sterilization,protein_agent,method,"some protein modifying agents can result in sterilization, such as iodine, hydrogen peroxide, ethylene oxide, formaldehyde, and glutaraldehyde"
disinfection,sanitization,synonym,"disinfection and sanitation both reduce the number of organsims in a location, although disinfection technically clears everything except spores while sanitation might not eliminate all non-spore organisms"
bacteriocidal,pasteurization,method,can kill some milk-borne pathogens
bacteriocidal,disinfection,method,disinfection is biocidal but does not eliminate spores
bacteriocidal,sterilization,method,kills everything
bacteriocidal,bacteriostatic,potency,bacteriocidal substances are more potent than bacteriostatic substances as they kill bacteria or prevent multiplication afterwards
disinfection,membrane_agent,method,most membrane agents are non-sporicidal and thus belong in the disinfectant class
bacteriocidal,biocide,agent,biocides are mostly bacteriocidal (but can also be considered bacteriostatic)
biocide,physical,method,heat or filtration are examples of physical biocides
pathogen,septic,state,"if a surface or organism contains pathogens, they are considered septic"
sterilization,aseptic,state,aseptic if sterile
biocide,membrane_agent,agent,membrane modifying agents are biocides
biocide,protein_agent,agent,protein modifying agents are biocides
biocide,nucleic_acid_agent,agent,nucleic acid modifying agents are biocides
bacteriostatic,preservative,agent,"preservatives achieve bacteriostasis by making sure food or other products are not contaminated, or that bacteria cannot multiply within"
biocide,antibiotic,agent,antibiotics are also technically biocides
endospore,bacteria_domain,form,some bacteria have the ability to form resistant spores
physiology,mesophilic,temperature,mesophilic bacteria prefer a medium temperature to grow
physiology,psychrophilic,temperature,psychrophilic bacteria prefer colder temps to grow optimally
physiology,thermophilic,temperature,thermophilic bacteria prefer hotter temperatures to grow optimally
physiology,oxygen_metabolism,oxygen,different bacteria have different requirements for oxygen
oxygen_metabolism,superoxide_dismutase,enzyme,superoxide is an enzyme in the oxygen metabolism pathway. OBLIGATE ANAEROBES do not have superoxide dismutase
oxygen_metabolism,catalase,enzyme,catalase is an enzyme in the oxygen metabolism pathway. AEROBES and FACULTATIVE SPECIES have this enzyme
oxygen_metabolism,peroxidase,enzyme,peroxidase is an enzyme in the oxygen metabolism pathway. FACULTATIVE SPECIES and AEROTOLERANT SPECIES have this enzyme
pathogen,physiology,optimums,All bacteria associated with the human host (normal flora and pathogens) are: mesophilic heterotrophic chemosynthetic
physiology,energy_source,energy,different bacteria prefer different energy sources
physiology,end_products,biproduct,respiration produces different molecules as byproducts
physiology,aerobic_respiration,energy,"organisms that undergo aerobic respiration make use of oxygen as the final electron acceptor through glycolysis, the citric acid cycle, and finally through the electron transport chain. Obligate aerobes have more efficient electron transport chains compared to facultative anaerobes"
aerobic_respiration,anaerobic_respiration,energy,"use some of the pathways of aerobic respiration, but uses other electron acceptors such as NO3"
physiology,fermentation,energy,anaerobic bacteria undergo fermentation through converting glucose to pyruvate to lactate or other end products
energy_source,bacterial_growth,result,nutrients provide resources for bacterial growth
bacterial_growth,direct_cell_count,measures,counting direct cells is a simple method but can be time consuming and does not count only live cells
bacterial_growth,viable_cell_count,measures,viable cell method counts live cells but only those that can form colonies
bacterial_growth,spectrophotometry,measures,sectrophotometry is quick but also counts dead cells
bacterial_growth,metabolic_activity,measures,counts live cells and is used industrially to find optimums.
staphylococcus_aureus,coagulase,positive,
staphylococcus_aureus,catalase,positive,
staphylococcus_aureus,mannitol_agar,grows,
staphylococcus_aureus,beta_hemolysis,performs,
staphylococcus_aureus,nares,colonizes,
staphylococcus_aureus,pneumonia,symptom,often a result of post viral infection
staphylococcus_aureus,arthritis,symptom,"can be septic, bacteremia"
staphylococcus_aureus,sepsis,symptom,septic arthritis or toxic shock
staphylococcus_aureus,impetigo,symptom,golden yellow crust
staphylococcus_aureus,folliculitis,symptom,
staphylococcus_aureus,furuncle,symptom,
staphylococcus_aureus,cgd,complication,children with cgd have weakened primary immune response against S. aureus
staphylococcus_aureus,erysipelas,symptom,
staphylococcus_aureus,cellulitis,symptom,
staphylococcus_aureus,carbuncle,symptom,
staphylococcus_aureus,heat_solubility,stable,Enterotoxin A is a heat stable toxin
staphylococcus_aureus,abscess,symptom,
sepsis,septic_shock,exacerbation,"sepsis can result in septic shock, characterized by extremely low blood pressure and multiple organ failiure."
staphylococcus_aureus,endocarditis,symptom,prominent in IV drug users
staphylococcus_aureus,osteomyelitis,symptom,
staphylococcus_aureus,toxic_shock_syndrome,symptom,"caused by TSST, which is a superantigen and causes release of inflammatory cytokines"
staphylococcus_aureus,scalded_skin_syndrome,symptom,exfoliative toxin which is a protease causes this
staphylococcus_aureus,vomiting,symptom,
staphylococcus_aureus,food_poisoning,cause,"rapid onset, vomiting, found in meat and mayo/ other refrigerated raw products, toxin is heat stable"
staphylococcus_aureus,resistance,possesses,"beta lactamases, altered PBPs"
staphylococcus_aureus,beta_lactamase,contains,most strands of S. aureus contain beta lactamases and belong in the MSSA class. MRSA are additionally resistant to methicillin due to altered PBPs
staphylococcus_epidermidis,catalase,positive,
staphylococcus_epidermidis,coagulase,negative,
staphylococcus_epidermidis,urease,positive,can turn urea to ammonia
staphylococcus_epidermidis,novobiocin,sensitive,
staphylococcus_epidermidis,endocarditis,symptom,
staphylococcus_epidermidis,biofilm,builds,polysaccharide
staphylococcus_saprophyticus,catalase,positive,
staphylococcus_saprophyticus,coagulase,negative,
staphylococcus_saprophyticus,urease,positive,
staphylococcus_saprophyticus,novobiocin,resistant,
staphylococcus_saprophyticus,honeymoon_cystitis,symptom,common in sexually active young adults
uti,pyelonephritis,synonym,
staphylococcus_saprophyticus,uti,symptom,2nd most common cause of utis in women behind e. coli
staphylococcus_saprophyticus,prostatitis,symptom,
streptococcus_pyogenes,catalase,enzyme,
streptococcus_pyogenes,capsule,hyaluronic acid,not immunogenic
streptococcus_pyogenes,beta_hemolysis,performs,
streptococcus_pyogenes,pharyngitis,symptom,
streptococcus_pyogenes,impetigo,symptom,honey crust
streptococcus_pyogenes,erysipelas,symptom,
streptococcus_pyogenes,cellulitis,symptom,
streptococcus_pyogenes,pharyngitis,symptom,
streptococcus_pyogenes,rash,symptom,"diffuse, strawberry tongue, part of scarlet fever"
streptococcus_pyogenes,toxic_shock_syndrome,symptom,"specifically toxic shock like syndrome, caused by TSLS (exotoxin A) superantigen, different from staph in that it requires spread of bacteria instead of spread of toxin"
streptococcus_pyogenes,necrotizing_fasciitis,symptom,"exotoxin B, flesh eating strains"
streptococcus_pyogenes,myocarditis,symptom,M-protein is similar to myosin which causes a immune response in Rheumatic fever
streptococcus_pyogenes,pericarditis,symptom,M-protein is similar to myosin which causes a immune response in Rheumatic fever
streptococcus_pyogenes,sepsis,symptom,
streptococcus_pyogenes,nodule,symptom,part of RF
streptococcus_pyogenes,arthritis,symptom,"polyarthritis, part of RF"
streptococcus_pyogenes,lesion,symptom,"erythema marginatum, a skin condition that appears as a rash of bright pink or red circular lesions with a pale center and a sharply defined border, part of RF"
streptococcus_pyogenes,cns,symptom,"Sydenham's chorea, rapid movement of neck muscles, part of rheumatic fever"
streptococcus_pyogenes,sequelae,secondary,rheumatic fever (after no prompt treatment) and glomerulonephritis (can occur 2-3 weeks after even with treatment)
streptococcus_pyogenes,glomerulus,symptom,"glomerulonephritis, cola-colored urine, facial edema"
streptococcus_pyogenes,edema,symptom,facial edema
streptococcus_pyogenes,rbc,enzyme,"streptolysin O lyses red blood cells, common test is antistreptolysin O antibody produced by host"
streptococcus_pyogenes,bacitracin,sensitive,
streptococcus_pyogenes,chromosome,attacks,DNAse depolymerizes DNA
streptococcus_pyogenes,platelet,clotting,streptokinase converts plasminogen to plasmin
streptococcus_pyogenes,droplet,spread,
streptococcus_pyogenes,contact,spread,
streptococcus_pyogenes,pyoderma,symptom,
streptococcus_agalactiae,staphylococcus_aureus,CAMP test,"when S agalactiae is plated with staph aureus, an increased zone of hemolysis is observed (arrowhead)"
streptococcus_agalactiae,hippurate,positive,
streptococcus_agalactiae,neonate,affects,"causes neonatal meningitis (common cause), late onset"
streptococcus_agalactiae,meningitis,symptom,"causes neonatal meningitis (common cause), late onset"
streptococcus_agalactiae,beta_hemolysis,performs,
streptococcus_agalactiae,bacitracin,resistant,
streptococcus_agalactiae,sepsis,symptom,"neonatal, early or late onset"
streptococcus_agalactiae,pneumonia,symptom,early onset
streptococcus_agalactiae,catalase,positive,
streptococcus_agalactiae,coagulase,negative,
streptococcus_agalactiae,contact,spread,"postpartum from mother to child, increased if premature rupture, prolonged labor, preterm birth, or precolonization"
streptococcus_agalactiae,capsule,polysaccharide,
streptococcus_pneumoniae,alpha_hemolysis,performs,
streptococcus_pneumoniae,capsule,polysaccharide,major virulence factor
streptococcus_pneumoniae,optochin,sensitive,
streptococcus_pneumoniae,bile,sensitive,
streptococcus_pneumoniae,meningitis,symptom,one of most common causes of bacterial meningitis
streptococcus_pneumoniae,otitis_media,symptom,one of most common causes
streptococcus_pneumoniae,pneumonia,symptom,one of most common causes
streptococcus_pneumoniae,sinusitis,symptom,one of most common causes
streptococcus_pneumoniae,immunoglobulin,affects,"igA protease, helps with mucosal colonization"
streptococcus_pneumoniae,spleen,complication,"encapsulated resistance, asplenic patients more at risk"
streptococcus_pneumoniae,vaccine,"adult vaccine is 23-valent, polysaccharide IgM, child is 7/13 valent polysaccharide protein IgG",
streptococcus_pneumoniae,nasopharynx,spread,
streptococcus_pneumoniae,bacteremia,symptom,high rate in elderly
